term,int_rate,dti,fico_range_low,total_rec_int,total_rec_late_fee,last_fico_range_high,last_fico_range_low,acc_open_past_24mths,num_tl_op_past_12m,loan_to_income,loan_int_rate_interaction
36,16.55,33.85,670.0,2788.2,0.0,624.0,620.0,16.0,6.0,0.2269006985300076,231700.0
36,9.17,18.17,690.0,877.84,0.0,724.0,720.0,3.0,2.0,0.1395316387990977,55020.0
36,13.67,20.12,670.0,17.66,0.0,624.0,620.0,5.0,1.0,0.017646799311774826,16404.0
36,5.32,23.35,790.0,1567.97,0.0,769.0,765.0,0.0,0.0,0.4999875003124922,106400.0
36,11.22,34.6,680.0,1642.8,0.0,544.0,540.0,8.0,3.0,0.4166550929140857,168300.0
36,13.99,22.62,680.0,3529.48,0.0,699.0,695.0,5.0,2.0,0.2999970000299997,419700.0
60,11.99,12.57,680.0,4436.46,0.0,719.0,715.0,8.0,4.0,0.24718823384006922,263780.0
36,9.76,14.84,675.0,1625.37,0.0,674.0,670.0,3.0,2.0,0.1111102880719402,146400.0
36,7.89,9.77,665.0,905.78,0.0,709.0,705.0,1.0,0.0,0.06750997881874414,63120.0
36,10.64,25.22,680.0,1928.29,0.0,724.0,720.0,3.0,2.0,0.22399552008959822,119168.0
36,5.32,13.66,695.0,1726.64,0.0,794.0,790.0,6.0,3.0,0.18666542223051846,148960.0
36,9.76,0.68,680.0,1879.78,0.0,714.0,710.0,1.0,0.0,0.1636348760465814,175680.0
36,12.59,29.38,665.0,1810.83,0.0,604.0,600.0,9.0,1.0,0.20644780741368823,141008.0
36,12.05,8.12,725.0,1102.75,0.0,804.0,800.0,4.0,3.0,0.0941650972483792,68082.5
36,13.67,13.55,675.0,134.55,0.0,549.0,545.0,9.0,5.0,0.021817785131179435,16404.0
60,19.48,29.55,660.0,2186.0,0.0,624.0,620.0,5.0,2.0,0.16128772116578766,194800.0
36,12.59,29.69,725.0,2116.37,0.0,754.0,750.0,1.0,1.0,0.2874920141107192,130306.5
36,9.99,23.75,710.0,1007.29,0.0,519.0,515.0,3.0,0.0,0.18946869819215284,71928.0
